id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count,availability_365
28868852,Cozy sunny room with newly renovated bathroom,191407977,Jamil,North Cambridge,42.39962,-71.11285,Private room,81,114,3,86
28952923,The Modica Estates 4,218237995,Jason,The Port,42.36478,-71.09716,Private room,67,341,2,139
28988139,I1 Private Room by Kendall,218493228,John,WellingtonHarrington,42.37165,-71.09826,Private room,73,67,3,111
28989060,I3 Private Room by KendallMITCentral Statio,218493228,John,WellingtonHarrington,42.36935,-71.09481,Private room,70,39,3,126
29034417,The Modica Estates 5,218237995,Jason,The Port,42.36448,-71.0978,Private room,73,333,2,130
29079850,Arlington Craftsman X Quiet Extra Room,9913290,Thomas,North Cambridge,42.40993,-71.16069,Private room,89,8,3,0
29082416,Brighton,16016039,Amaro,West Cambridge,42.36203,-71.14292,Private room,86,77,1,173
29151496,Clean  Convenient with 5 star reviews HARVARDMIT,219665574,Mark,WellingtonHarrington,42.37441,-71.08883,Entire homeapt,268,127,1,152
29179789,Stylish Brookline Private Bedroom FenwayLongwood,6102813,Mark,Area 2MIT,42.33425,-71.1124,Private room,250,3,3,333
29308635,Beautiful room in Cambridge  Ma,887148,Dawn,West Cambridge,42.37589,-71.12674,Private room,275,6,4,365
29343335,Budget Room in Cambridge  Paris Concept,201911026,George,The Port,42.3685,-71.09651,Private room,79,147,4,50
29351720,Large Fenway Studio close to Hospitals Back Bay,155595193,Michelle,Area 2MIT,42.34509,-71.096,Entire homeapt,160,0,8,364
29360278,LARGE Studio FenwayBackBay close to HOSPITALS  T,38997,Michelle,Area 2MIT,42.34647,-71.09366,Entire homeapt,135,3,11,343
29456735,Welcome to Boston the city of champions,51354887,Jay,North Cambridge,42.39259673,-71.11937958,Private room,79,19,7,150
29489346,Downtown Boston Moontower Loft,88360952,Anthony,Area 2MIT,42.35385,-71.06031,Private room,65,0,1,90
29513275,Back Bay studio on Marlborough St 91 night min,180283497,Michelle,Area 2MIT,42.35198,-71.07777,Entire homeapt,135,1,8,363
29536984,Sweet dreams,101500994,Washington,West Cambridge,42.35744,-71.1529,Private room,50,3,1,179
29588602,One Subway Stop to Harvard Two Stops to MIT C,51079261,Riverside,North Cambridge,42.39443,-71.12657,Private room,100,9,25,0
29682500,Cozy  Comfy Studio in Back Bay w Free Parking,40317532,Timothy,Area 2MIT,42.35152,-71.08606,Entire homeapt,318,225,1,127
29704910,Bright  Spacious Loft Steps to the Freedom Trail,771785,Aaron,Area 2MIT,42.3544,-71.06039,Entire homeapt,348,155,1,191
29713230,Private room in beautiful home in fun neighborhood,191407977,Jamil,North Cambridge,42.39962,-71.11285,Private room,78,105,3,74
29739809,Spectacular luxury Bay VillageBack Bay Condo,172007,Tim,Area 2MIT,42.34867,-71.06685,Entire homeapt,270,248,1,245
29779838,Tidy and Tranquil Piedaterre,48740653,Kai,Agassiz,42.38858,-71.10953,Entire homeapt,110,0,2,261
29789486,Budget Room in Cambridge  Istanbul Concept,201911026,George,The Port,42.37024,-71.09739,Private room,76,97,4,235
29794726,Two Beautiful Rooms in a Lively Fun Neighborhood,191407977,Jamil,North Cambridge,42.39962,-71.11285,Private room,125,16,3,62
29816287,Budget Room in Cambridge  Twin Concept,201911026,George,WellingtonHarrington,42.37239,-71.0961,Private room,79,142,4,62
29831173,Rose RoomHarvard Business Schoolfree parking,224379152,TingyingHelen,West Cambridge,42.35188,-71.15245,Private room,86,10,3,279
29854517,Cozy Place,197864304,Elicia,The Port,42.36652,-71.10181,Private room,115,0,1,0
29898702,Charlesmark boutique hotel room in Copley Square,224820689,Charlesmark,Area 2MIT,42.35006,-71.07858,Hotel room,318,83,5,295
29929936,Lily RoomHarvard Business Schoolfree parking,224379152,TingyingHelen,West Cambridge,42.35398,-71.15464,Private room,75,19,3,305
29931687,Sunflower RoomHarvard Business School Parking,224379152,TingyingHelen,West Cambridge,42.35227,-71.15464,Private room,76,19,3,315
29982429,Standard Studio Apartment in Back Bay,85130,Copley,Area 2MIT,42.3452,-71.07911,Private room,306,53,5,344
29992024,Beautiful Cambridge Home Great for Families,7372692,Eva,Cambridge Highlands,42.3941,-71.1532,Entire homeapt,525,15,1,15
30010088,Arlington Center  clean living near buses  food,163070796,Jayme,North Cambridge,42.41722,-71.15942,Entire homeapt,128,63,1,7
30010766,Cozy bedr close to TUFTS Harvard 4 By Pike Hubs,220453801,Pike,North Cambridge,42.4033,-71.10524,Private room,55,105,10,264
30035967,Newly renovated spacious gem in heart of City,19167089,Danielle  Joe,East Cambridge,42.36853,-71.08233,Entire homeapt,201,116,1,94
30036357,A Boutique Hotel Room in Copley Charlesmark Hotel,224820689,Charlesmark,Area 2MIT,42.35006,-71.07858,Hotel room,318,90,5,295
30037052,Queen Size Bed Boutique Hotel  The Charlesmark,224820689,Charlesmark,Area 2MIT,42.35006,-71.07858,Hotel room,338,39,5,295
30060158,The Charlesmark Hotel Premium Queen Copley Square,224820689,Charlesmark,Area 2MIT,42.35006,-71.07858,Hotel room,298,10,5,295
